episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
460,5.6953279,5.03700173208,8,9
461,6.513215599,5.04020393136,10,9
462,6.12579511,5.04255369582,9,9
463,6.12579511,5.0448933101,9,9
464,6.513215599,5.0480577978,10,9
465,6.12579511,5.05037551245,9,9
466,5.6953279,5.05175953044,8,9
467,-9.6946721,5.02018258905,8,9
468,0.81138511,5.01118943204,9,9
469,-3.782969,4.99243856119,7,9
470,6.12579511,4.9948499581,9,9
471,6.12579511,4.99725111554,9,9
472,2.71,4.99240524453,3,9
473,6.513215599,4.99562048841,10,9
474,6.12579511,4.99800482305,9,9
475,6.513215599,5.00119474047,10,9
476,-1.16420489,4.98824222024,9,9
477,5.217031,4.98872186129,7,9
478,6.12579511,4.99110067562,9,9
479,4.68559,4.99046286627,6,8
480,-4.9049,4.96984752697,5,8
481,6.12579511,4.9722507444,9,8
482,6.513215599,4.97544776692,10,8
483,6.513215599,4.97863155125,10,8
484,6.513215599,4.98180217945,10,8
485,5.6953279,4.9832733665,8,8
486,5.217031,4.98375434928,7,8
487,6.513215599,4.9868949268,10,8
488,6.513215599,4.99002263309,10,8
489,1.82112301,4.98354226577,9,8
490,6.513215599,4.98666404808,10,8
491,6.12579511,4.98898407061,9,8
492,6.513215599,4.99208210217,10,8
493,6.513215599,4.99516756565,10,9
494,6.513215599,4.99824053738,10,9
495,5.6953279,4.99964879468,8,9
496,6.12579511,5.00191925096,9,9
497,6.12579511,5.0041805706,9,9
498,6.12579511,5.00643280863,9,9
499,6.513215599,5.00945241342,10,9
500,6.513215599,5.01245993979,10,9
